telefono1;2020-01-01T04:10:12;1
telefono1;2020-01-02T04:10:12;1
telefono2;2020-01-03T04:10:12;2
telefono2;2020-01-04T04:10:12;2
telefono3;2020-01-05T04:10:12;1
telefono3;2020-01-06T04:10:12;1
telefono1;2022-01-02T14:45:08;1
telefono1;2022-01-03T14:45:08;1
telefono2;2022-01-04T14:45:08;2
telefono2;2022-01-05T14:45:08;2
telefono3;2022-01-06T14:45:08;1
telefono3;2022-01-07T14:45:08;1
telefono1;2022-01-08T14:45:08;2
telefono1;2020-01-02T04:10:12;2
telefono2;2020-01-03T04:10:12;1
telefono2;2020-01-04T04:10:12;1
telefono3;2020-01-05T04:10:12;2
telefono3;2020-01-06T04:10:12;2
telefono2;2020-01-07T04:10:12;1
telefono2;2022-01-03T14:45:08;1
telefono3;2022-01-04T14:45:08;1
telefono3;2022-01-05T14:45:08;1
telefono4;2022-01-06T14:45:08;2
telefono4;2022-01-07T14:45:08;2
telefono2;2022-01-08T14:45:08;1
telefono2;2022-01-09T14:45:08;1
telefono3;2020-01-03T04:10:12;2
telefono3;2020-01-04T04:10:12;2
telefono4;2020-01-05T04:10:12;1
telefono4;2020-01-06T04:10:12;1
telefono2;2020-01-07T04:10:12;2
telefono2;2020-01-08T04:10:12;2
telefono3;2022-01-04T14:45:08;1
telefono3;2022-01-05T14:45:08;1
telefono4;2022-01-06T14:45:08;1
telefono4;2022-01-07T14:45:08;1
telefono3;2022-01-08T14:45:08;2
telefono3;2022-01-09T14:45:08;2
telefono4;2022-01-10T14:45:08;1
telefono4;2020-01-04T04:10:12;1
telefono5;2020-01-05T04:10:12;2
telefono5;2020-01-06T04:10:12;2
telefono3;2020-01-07T04:10:12;1
telefono3;2020-01-08T04:10:12;1
telefono4;2020-01-09T04:10:12;2
telefono4;2022-01-05T14:45:08;2
telefono5;2022-01-06T14:45:08;1
telefono5;2022-01-07T14:45:08;1
telefono3;2022-01-08T14:45:08;1
telefono3;2022-01-09T14:45:08;1
telefono4;2022-01-10T14:45:08;2
telefono4;2022-01-11T14:45:08;2
telefono5;2020-01-05T04:10:12;1
telefono5;2020-01-06T04:10:12;1
telefono4;2020-01-07T04:10:12;2
telefono4;2020-01-08T04:10:12;2
telefono5;2020-01-09T04:10:12;1
telefono5;2020-01-10T04:10:12;1
telefono6;2022-01-06T14:45:08;2
telefono6;2022-01-07T14:45:08;2
telefono4;2022-01-08T14:45:08;1
telefono4;2022-01-09T14:45:08;1
telefono5;2022-01-10T14:45:08;1
telefono5;2022-01-11T14:45:08;1
telefono6;2022-01-12T14:45:08;2
telefono6;2020-01-06T04:10:12;2
telefono4;2020-01-07T04:10:12;1
telefono4;2020-01-08T04:10:12;1
telefono5;2020-01-09T04:10:12;2
telefono5;2020-01-10T04:10:12;2
telefono6;2020-01-11T04:10:12;1
telefono6;2022-01-07T14:45:08;1
telefono5;2022-01-08T14:45:08;2
telefono5;2022-01-09T14:45:08;2
telefono6;2022-01-10T14:45:08;1
telefono6;2022-01-11T14:45:08;1
telefono7;2022-01-12T14:45:08;1
telefono7;2022-01-13T14:45:08;1
telefono5;2020-01-07T04:10:12;2
telefono5;2020-01-08T04:10:12;2
telefono6;2020-01-09T04:10:12;1
telefono6;2020-01-10T04:10:12;1
telefono7;2020-01-11T04:10:12;2
telefono7;2020-01-12T04:10:12;2
telefono5;2022-01-08T14:45:08;1
telefono5;2022-01-09T14:45:08;1
telefono6;2022-01-10T14:45:08;2
telefono6;2022-01-11T14:45:08;2
telefono7;2022-01-12T14:45:08;1
telefono7;2022-01-13T14:45:08;1
telefono6;2022-01-14T14:45:08;1
telefono6;2020-01-08T04:10:12;1
telefono7;2020-01-09T04:10:12;2
telefono7;2020-01-10T04:10:12;2
telefono8;2020-01-11T04:10:12;1
telefono8;2020-01-12T04:10:12;1
telefono6;2020-01-13T04:10:12;2
telefono6;2022-01-09T14:45:08;2
telefono7;2022-01-10T14:45:08;1
telefono7;2022-01-11T14:45:08;2
